count,order,family,genus,level,genus_species,ID,in_refdb
5,Perciformes,Scombridae,Auxis,SPECIES,Auxis rochei,4286088,MATCH
5,Perciformes,Serranidae,Anthias,SPECIES,Anthias nicholsi,2387923,NO MATCH
5,Scorpaeniformes,Agonidae,Aspidophoroides,SPECIES,Aspidophoroides olriki,2337217,NO MATCH
5,Scorpaeniformes,Liparidae,Careproctus,SPECIES,Careproctus reinhardti,2336181,MATCH
5,Scorpaeniformes,Liparidae,Liparis,SPECIES,Liparis tunicatus,5201492,MATCH
5,Siluriformes,Ictaluridae,Ictalurus,SPECIES,Ictalurus furcatus,5202525,MATCH
5,Stomiiformes,Gonostomatidae,Sigmops,SPECIES,Gonostoma elongatum,5203363,MATCH
5,Tetraodontiformes,Monacanthidae,Aluterus,SPECIES,Aluterus schoepfii,2406748,MATCH
4,Beloniformes,Exocoetidae,Hirundichthys,SPECIES,Hirundichthys volador,9591512,NO MATCH
4,Gadiformes,Lotidae,Lota,SPECIES,Lota lota,2415460,MATCH
4,Myctophiformes,Myctophidae,Notoscopelus,SPECIES,Notoscopelus resplendens,2406106,MATCH
4,Perciformes,Ariommatidae,Ariomma,SPECIES,Ariomma bondi,2399410,NO MATCH
4,Perciformes,Chaetodontidae,Chaetodon,SPECIES,Chaetodon capistratus,2385548,MATCH
4,Perciformes,Ephippidae,Chaetodipterus,SPECIES,Chaetodipterus faber,2394320,MATCH
4,Perciformes,Gempylidae,Nealotus,SPECIES,Nealotus tripes,2397769,MATCH
4,Perciformes,Lutjanidae,Lutjanus,SPECIES,Lutjanus campechanus,2384865,NO MATCH
4,Perciformes,Priacanthidae,Heteropriacanthus,SPECIES,Heteropriacanthus cruentatus,2375045,MATCH
4,Perciformes,Scombridae,Katsuwonus,SPECIES,Katsuwonus pelamis,2374191,MATCH
4,Perciformes,Serranidae,Mycteroperca,SPECIES,Mycteroperca phenax,2389053,MATCH
4,Perciformes,Xiphiidae,Xiphias,SPECIES,Xiphias gladius,2397850,MATCH
4,Perciformes,Zoarcidae,Gymnelus,SPECIES,Gymnelis viridis,2380950,NO MATCH
4,Polymixiiformes,Polymixiidae,Polymixia,SPECIES,Polymixia nobilis,2410396,NO MATCH
4,Scorpaeniformes,Liparidae,Liparis,SPECIES,Liparis liparis,5712338,MATCH
4,Scorpaeniformes,Liparidae,Paraliparis,SPECIES,Paraliparis copei,4286437,MATCH
4,Scorpaeniformes,Liparidae,Paraliparis,SPECIES,Paraliparis garmani,2336334,MATCH
4,Siluriformes,Ictaluridae,Pylodictis,SPECIES,Pylodictis olivaris,2341077,MATCH
4,Stomiiformes,Sternoptychidae,Polyipnus,SPECIES,Polyipnus clarus,2347529,NO MATCH
4,Stomiiformes,Stomiidae,Borostomias,SPECIES,Borostomias antarcticus,2347213,MATCH
4,Zeiformes,Parazenidae,Cyttopsis,SPECIES,Cyttopsis rosea,2415284,MATCH
4,Zeiformes,Zeidae,Zenopsis,SPECIES,Zenopsis conchifer,2415247,MATCH
3,Aulopiformes,Scopelarchidae,Scopelarchus,SPECIES,Scopelarchus analis,2401446,NO MATCH
3,Beloniformes,Belonidae,Ablennes,SPECIES,Ablennes hians,2369165,MATCH
3,Beloniformes,Exocoetidae,Parexocoetus,SPECIES,Parexocoetus hillianus,2368613,NO MATCH
3,Cypriniformes,Cyprinidae,Pimephales,SPECIES,Pimephales notatus,2367736,MATCH
3,Notacanthiformes,Notacanthidae,Polyacanthonotus,SPECIES,Polyacanthonotus rissoanus,2405510,MATCH
3,Perciformes,Carangidae,Carangoides,SPECIES,Caranx bartholomaei,2390959,NO MATCH
3,Perciformes,Carangidae,Decapterus,SPECIES,Decapterus macarellus,2391064,MATCH
3,Perciformes,Percidae,Sander,SPECIES,Sander vitreus,2382172,MATCH
3,Perciformes,Pomacanthidae,Holacanthus,SPECIES,Holacanthus bermudensis,5211460,MATCH
3,Perciformes,Pomacentridae,Abudefduf,SPECIES,Abudefduf taurus,2398664,MATCH
3,Perciformes,Priacanthidae,Cookeolus,SPECIES,Cookeolus japonicus,2375059,MATCH
3,Perciformes,Serranidae,Mycteroperca,SPECIES,Mycteroperca microlepis,2388994,MATCH
3,Perciformes,Stichaeidae,Leptoclinus,SPECIES,Leptoclinus maculatus,2394832,MATCH
3,Perciformes,Zoarcidae,Lycodes,SPECIES,Lycodes reticulatus,8406566,MATCH
3,Petromyzontiformes,Petromyzontidae,Lampetra,SPECIES,Lampetra aepyptera,5216490,MATCH
3,Scorpaeniformes,Cottidae,Icelus,SPECIES,Icelus bicornis,5201203,MATCH
3,Stomiiformes,Stomiidae,Malacosteus,SPECIES,Malacosteus niger,2347378,MATCH
3,Syngnathiformes,Fistulariidae,Fistularia,SPECIES,Fistularia petimba,5200931,MATCH
