12,Rajiformes,Rajidae,Rajella,SPECIES,Rajella fyllae,2420418
109,Squaliformes,Etmopteridae,Centroscyllium,SPECIES,Centroscyllium fabricii,2421020
5,Squaliformes,Etmopteridae,Etmopterus,SPECIES,Etmopterus princeps,2421071
6,Squaliformes,Somniosidae,Centroscymnus,SPECIES,Centroscymnus coelolepis,2421147
47329,Squaliformes,Squalidae,Squalus,SPECIES,Squalus acanthias,5216368
1,Squatiniformes,Squatinidae,Squatina,SPECIES,Squatina dumeril,2417800
29,Torpediniformes,Torpedinidae,Tetronarce,SPECIES,Tetronarce occidentalis,11103867
13,Torpediniformes,Torpedinidae,Tetronarce,SPECIES,Torpedo nobiliana,5215510
39,Esociformes,Esocidae,Esox,SPECIES,Esox americanus,4284046
55,Esociformes,Esocidae,Esox,SUBSPECIES,Esox americanus americanus,6167920
33,Esociformes,Esocidae,Esox,SPECIES,Esox lucius,2346633
2,Esociformes,Esocidae,Esox,SPECIES,Esox masquinongy,2346634
397,Esociformes,Esocidae,Esox,SPECIES,Esox niger,2346629
5,Esociformes,Esocidae,Esox,GENUS,Esox,2346628
1,Esociformes,Esocidae,Esox,GENUS,Esox americanus × niger,2346628
5,Esociformes,Umbridae,Umbra,SPECIES,Umbra limi,5203110
107,Esociformes,Umbridae,Umbra,SPECIES,Umbra pygmaea,5203111
47390,Gadiformes,Gadidae,Gadus,SPECIES,Gadus morhua,8084280
234836,Gadiformes,Gadidae,Melanogrammus,SPECIES,Melanogrammus aeglefinus,2415822
37,Gadiformes,Gadidae,Microgadus,SPECIES,Microgadus tomcod,2415893
20756,Gadiformes,Gadidae,Pollachius,SPECIES,Pollachius virens,2415861
2165,Gadiformes,Lotidae,Brosme,SPECIES,Brosme brosme,2415505
559,Gadiformes,Lotidae,Enchelyopus,SPECIES,Enchelyopus cimbrius,5214892
5,Gadiformes,Lotidae,Gaidropsarus,SPECIES,Gaidropsarus ensis,2415583
4,Gadiformes,Lotidae,Lota,SPECIES,Lota lota,2415460
2,Gadiformes,Macrouridae,Coelorinchus,SPECIES,Caelorinchus caelorinchus,4353064
27,Gadiformes,Macrouridae,Coryphaenoides,SPECIES,Coryphaenoides carapinus,5215212
116,Gadiformes,Macrouridae,Coryphaenoides,SPECIES,Coryphaenoides rupestris,5215150
8,Gadiformes,Macrouridae,,FAMILY,Macrouridae,6978
5,Gadiformes,Macrouridae,Macrourus,SPECIES,Macrourus berglax,5215147
7,Gadiformes,Macrouridae,Malacocephalus,SPECIES,Malacocephalus occidentalis,5215097
622,Gadiformes,Macrouridae,Nezumia,SPECIES,Nezumia bairdii,2416930
